time_seconds,note_midi,confidence
45.5924,31,0.86
45.6040,31,0.86
45.6156,31,0.88
45.6272,31,0.90
45.6388,31,0.80
45.6504,31,0.81
45.6620,31,0.89
45.6969,31,0.81
45.7433,30,0.85
45.7549,30,0.85
45.8014,42,0.82
45.8710,31,0.86
45.8826,31,0.92
45.8942,31,0.91
46.1613,31,0.82
46.3122,33,0.87
46.3238,33,0.95
46.3354,45,0.88
46.3470,45,0.86
46.3586,45,0.85
46.3702,45,0.89
46.4167,46,0.85
46.7650,35,0.84
46.7766,35,0.83
46.7882,35,0.85
46.7998,35,0.93
46.8114,35,0.96
46.8230,35,0.93
46.8346,35,0.91
46.8463,35,0.92
46.8579,35,0.92
46.8695,35,0.90
46.8811,35,0.86
46.8927,35,0.81
47.0088,35,0.82
47.0204,35,0.82
47.0320,35,0.83
47.0436,35,0.89
47.0552,35,0.86
47.0668,36,0.86
47.0785,35,0.87
47.0901,35,0.87
47.1017,35,0.89
47.1133,35,0.85
47.1249,36,0.83
47.1365,36,0.85
47.4500,29,0.81
47.5080,35,0.86
47.5196,47,0.81
47.5661,47,0.88
47.5777,47,0.86
47.6125,36,0.84
47.6706,29,0.81
47.7054,47,0.87
47.7170,35,0.98
47.7286,35,0.95
47.7402,35,0.94
47.7518,35,0.96
47.7634,35,0.97
47.7751,35,0.94
47.7867,35,0.92
47.7983,35,0.92
47.8099,35,0.84
48.0305,35,0.83
48.3788,29,0.93
48.3904,29,0.89
48.4020,29,0.80
48.5065,29,0.82
48.5181,29,0.83
48.5645,29,0.86
48.5761,41,0.84
48.7039,29,0.81
48.7155,29,0.81
48.7271,29,0.84
49.0754,29,0.85
49.0870,29,0.89
49.0986,41,0.86
49.1102,41,0.87
49.1218,41,0.86
49.1334,40,0.84
49.1450,29,0.82
49.1566,29,0.84
49.2844,29,0.82
49.7255,42,0.83
50.0042,30,0.84
50.0158,30,0.88
50.0274,30,0.86
50.0390,30,0.87
50.2364,29,0.85
50.3293,35,0.83
50.3409,47,0.86
50.3525,47,0.87
50.3641,47,0.89
